time,cpu,mem,disk,disk_io,network,gpu load,gpu memutil
2021-02-22 01:37:50.031951,2.8,971.953125,10919.93359375,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -192494259.42229366, 'recv': -27417729090.378307}",0.0,0.08198065256599442
2021-02-22 01:37:52.095437,2.5,2032.04296875,10919.93359375,"{'rc': 0, 'wc': 50, 'rb': 0, 'wb': 278528}","{'sent': -192494259.4221239, 'recv': -27417729090.344776}",8.0,4.549926217412691
2021-02-22 01:37:56.280349,3.3,2709.3203125,10919.94921875,"{'rc': 0, 'wc': 65, 'rb': 0, 'wb': 421888}","{'sent': -192494259.4213686, 'recv': -27417729090.27648}",5.0,18.076733890801773
2021-02-22 01:37:58.364453,0.6,2721.96875,10919.94921875,"{'rc': 0, 'wc': 65, 'rb': 0, 'wb': 421888}","{'sent': -192494259.419075, 'recv': -27417729090.239273}",59.0,21.536317429086736
2021-02-22 01:38:00.448708,5.7,2891.05859375,10919.94921875,"{'rc': 0, 'wc': 65, 'rb': 0, 'wb': 421888}","{'sent': -192494259.41827965, 'recv': -27417729090.2055}",99.0,18.24069519593376
2021-02-22 01:38:02.534409,5.6,2980.1953125,10919.94921875,"{'rc': 0, 'wc': 65, 'rb': 0, 'wb': 421888}","{'sent': -192494259.4168005, 'recv': -27417729090.17304}",100.0,18.24069519593376
2021-02-22 01:38:04.624648,5.7,2979.71484375,10919.94921875,"{'rc': 0, 'wc': 101, 'rb': 0, 'wb': 598016}","{'sent': -192494259.4132452, 'recv': -27417729090.12931}",99.0,18.24069519593376
2021-02-22 01:38:06.713424,5.7,2997.25,10919.94921875,"{'rc': 0, 'wc': 101, 'rb': 0, 'wb': 598016}","{'sent': -192494259.41175175, 'recv': -27417729090.07717}",99.0,18.24069519593376
2021-02-22 01:38:08.790568,5.6,2889.18359375,10919.94921875,"{'rc': 0, 'wc': 137, 'rb': 0, 'wb': 782336}","{'sent': -192494259.4083948, 'recv': -27417729090.0315}",97.0,18.24069519593376
2021-02-22 01:38:10.874449,5.5,2895.35546875,10919.94921875,"{'rc': 0, 'wc': 137, 'rb': 0, 'wb': 782336}","{'sent': -192494259.40489864, 'recv': -27417729089.997147}",99.0,18.24069519593376
2021-02-22 01:38:12.963056,5.6,3009.41015625,10919.94921875,"{'rc': 0, 'wc': 137, 'rb': 0, 'wb': 782336}","{'sent': -192494259.4032669, 'recv': -27417729089.965996}",100.0,18.24069519593376
2021-02-22 01:38:15.052203,5.5,3036.5546875,10919.94921875,"{'rc': 0, 'wc': 179, 'rb': 0, 'wb': 983040}","{'sent': -192494259.3996067, 'recv': -27417729089.932804}",99.0,18.24069519593376
2021-02-22 01:38:17.140951,5.6,2988.88671875,10919.94921875,"{'rc': 0, 'wc': 179, 'rb': 0, 'wb': 983040}","{'sent': -192494259.3978367, 'recv': -27417729089.900116}",100.0,18.24069519593376
2021-02-22 01:38:19.227028,5.6,2982.8828125,10919.94921875,"{'rc': 0, 'wc': 215, 'rb': 0, 'wb': 1163264}","{'sent': -192494259.3943739, 'recv': -27417729089.866295}",99.0,18.24069519593376
2021-02-22 01:38:21.319953,5.5,2917.7578125,10919.94921875,"{'rc': 0, 'wc': 215, 'rb': 0, 'wb': 1163264}","{'sent': -192494259.39234638, 'recv': -27417729089.834694}",100.0,18.24069519593376
2021-02-22 01:38:23.409225,5.6,2866.86328125,10919.94921875,"{'rc': 0, 'wc': 215, 'rb': 0, 'wb': 1163264}","{'sent': -192494259.39062405, 'recv': -27417729089.80408}",100.0,18.24069519593376
2021-02-22 01:38:25.494766,5.5,2993.86328125,10919.94921875,"{'rc': 0, 'wc': 252, 'rb': 0, 'wb': 1343488}","{'sent': -192494259.38744926, 'recv': -27417729089.776608}",100.0,18.24069519593376
2021-02-22 01:38:27.581567,5.6,2945.640625,10919.94921875,"{'rc': 0, 'wc': 252, 'rb': 0, 'wb': 1343488}","{'sent': -192494259.38523674, 'recv': -27417729089.73757}",100.0,18.24069519593376
2021-02-22 01:38:29.670985,5.7,3080.90234375,10919.94921875,"{'rc': 0, 'wc': 288, 'rb': 0, 'wb': 1523712}","{'sent': -192494259.38276768, 'recv': -27417729089.68776}",100.0,18.24069519593376
2021-02-22 01:38:31.756857,5.4,3084.83203125,10919.94921875,"{'rc': 0, 'wc': 288, 'rb': 0, 'wb': 1523712}","{'sent': -192494259.3775816, 'recv': -27417729089.640327}",100.0,18.24069519593376
2021-02-22 01:38:33.842985,5.4,3031.91015625,10919.94921875,"{'rc': 0, 'wc': 288, 'rb': 0, 'wb': 1523712}","{'sent': -192494259.37559605, 'recv': -27417729089.612564}",99.0,18.24069519593376
2021-02-22 01:38:35.918031,5.5,3039.8828125,10919.94921875,"{'rc': 0, 'wc': 328, 'rb': 0, 'wb': 1716224}","{'sent': -192494259.3738556, 'recv': -27417729089.58}",100.0,18.24069519593376
2021-02-22 01:38:38.006998,5.6,2958.390625,10919.94921875,"{'rc': 0, 'wc': 328, 'rb': 0, 'wb': 1716224}","{'sent': -192494259.36966038, 'recv': -27417729089.54497}",99.0,18.24069519593376
2021-02-22 01:38:40.094217,5.5,2985.125,10919.94921875,"{'rc': 0, 'wc': 364, 'rb': 0, 'wb': 1896448}","{'sent': -192494259.3678007, 'recv': -27417729089.511257}",100.0,18.24069519593376
