time,cpu,mem,ram,disk,disk_io,network,gpu load,gpu memutil
2021-02-22 21:18:55.284138,2.9,984.390625,9355.28515625,10944.12109375,"{'rc': 0, 'wc': 0, 'rb': 0, 'wb': 0}","{'sent': -211147327.63366985, 'recv': -28927272553.763996}",0.0,0.08198065256599442
2021-02-22 21:18:57.352688,2.5,2038.2265625,10303.72265625,10944.12109375,"{'rc': 0, 'wc': 36, 'rb': 0, 'wb': 188416}","{'sent': -211147327.63306522, 'recv': -28927272553.726727}",9.0,4.451549434333497
2021-02-22 21:19:01.551536,3.2,3034.93359375,11274.0234375,10944.13671875,"{'rc': 0, 'wc': 40, 'rb': 0, 'wb': 241664}","{'sent': -211147327.63272572, 'recv': -28927272553.65473}",7.000000000000001,10.649286768322677
2021-02-22 21:19:03.644105,0.5,3059.64453125,11298.43359375,10944.13671875,"{'rc': 0, 'wc': 40, 'rb': 0, 'wb': 241664}","{'sent': -211147327.63272572, 'recv': -28927272553.618053}",82.0,21.536317429086736
2021-02-22 21:19:05.741054,5.5,3198.07421875,11437.0078125,10944.13671875,"{'rc': 0, 'wc': 43, 'rb': 0, 'wb': 253952}","{'sent': -211147327.63206768, 'recv': -28927272553.5808}",99.0,18.24069519593376
2021-02-22 21:19:07.833795,5.7,3211.74609375,11451.203125,10944.13671875,"{'rc': 0, 'wc': 45, 'rb': 0, 'wb': 319488}","{'sent': -211147327.6305647, 'recv': -28927272553.54056}",100.0,18.24069519593376
2021-02-22 21:19:09.922720,5.6,3225.69921875,11466.5625,10944.13671875,"{'rc': 0, 'wc': 45, 'rb': 0, 'wb': 319488}","{'sent': -211147327.6279478, 'recv': -28927272553.50004}",100.0,18.24069519593376
2021-02-22 21:19:12.010137,5.6,3232.984375,11473.96875,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.62731838, 'recv': -28927272553.46376}",100.0,18.24069519593376
2021-02-22 21:19:14.103824,5.6,3233.92578125,11474.97265625,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.62621975, 'recv': -28927272553.428455}",100.0,18.24069519593376
2021-02-22 21:19:16.188427,5.6,3234.33984375,11475.3125,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.62409687, 'recv': -28927272553.389706}",100.0,18.24069519593376
2021-02-22 21:19:18.278571,5.6,3237.20703125,11478.3125,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.62154484, 'recv': -28927272553.347603}",100.0,18.24069519593376
2021-02-22 21:19:20.360344,5.6,3238.59375,11479.28515625,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.6197424, 'recv': -28927272553.307686}",100.0,18.24069519593376
2021-02-22 21:19:22.438067,5.4,3239.3125,11480.25,10944.13671875,"{'rc': 0, 'wc': 54, 'rb': 0, 'wb': 376832}","{'sent': -211147327.61815166, 'recv': -28927272553.27085}",100.0,18.24069519593376
2021-02-22 21:19:24.530090,5.8,3238.328125,11479.78515625,10944.13671875,"{'rc': 0, 'wc': 55, 'rb': 0, 'wb': 417792}","{'sent': -211147327.61473846, 'recv': -28927272553.23465}",100.0,18.24069519593376
2021-02-22 21:19:26.617097,5.4,3238.6953125,11480.015625,10944.13671875,"{'rc': 0, 'wc': 55, 'rb': 0, 'wb': 417792}","{'sent': -211147327.61297607, 'recv': -28927272553.198334}",100.0,18.24069519593376
2021-02-22 21:19:28.709542,5.5,3239.04296875,11480.60546875,10944.13671875,"{'rc': 0, 'wc': 55, 'rb': 0, 'wb': 417792}","{'sent': -211147327.61071777, 'recv': -28927272553.16471}",100.0,18.24069519593376
